Title,Field1,Penulis1,Penulis2,Abstrak,Klasifikasi,Jenis,Subjek,Tahun,Penerbit
"PENGARUH UKURAN PERUSAHAAN, RISIKO PERUSAHAAN, KOMPLEKSITAS PERUSAHAN, PROFITABILITAS, DAN UKURAN KAP TERHADAP FEE AUDIT 
(Studi Empiris Perusahaan Sub Sektor Perbankan yang Listed di Bursa Efek Indonesia Periode 2017-2019) RIFKI ADJI SASTRADIPRAJA",RIFKI ADJI SASTRADIPRAJA,RIFKI ADJI SASTRADIPRAJA,"ANNISA NURBAITI, FEBRIAL PRATAMA","Fee audit adalah imbalan yang diterima auditor atas jasa audit yang dilakukan oleh auditor eksternal. Selain pengungkapannya masih bersifat sukarela, tidak adanya aturan yang mengatur standar wajar fee audit membuat fee yang dikeluarkan berbeda-beda pada setiap perusahaan, bahkan di perusahaan yang sama. Fee yang rendah berpotensi menimbulkan ketidakpatuhan pada kode etik dan standar yang berlaku. 
    Variabel independen penelitian ini adalah ukuran perusahaan, risiko perusahaan, kompleksitas perusahaan, profitabilitas, dan ukuran KAP. Sedangkan, variabel independennya yaitu fee audit. Penelitian ini dilakukan guna menganalisis pengaruh ukuran perusahaan, risiko perusahaan, kompleksitas perusahaan, profitabilitas, dan ukuran KAP terhadap fee audit pada perusahaan sub sektor perbankan yang listed di Bursa Efek Indonesia (BEI). 
    Populasi penelitian ini adalah perusahaan sub sektor perbankan yang listed di BEI tahun 2017-2019. Menurut jenisnya, penelitian ini dikategorikan sebagai penelitian deskriptif. Teknik pemilihan sampel berupa purposive sampling dan diperoleh 26 perusahaan. Sehingga total sampel berjumlah 78 dalam tiga tahun. Teknik analisis dalam penelitian ini adalah analisis regresi data panel.
    Berdasarkan hasil penelitian ukuran perusahaan, risiko perusahaan, kompleksitas perusahaan, profitabilitas, dan ukuran KAP berpengaruh secara simultan terhadap fee audit. Secara parsial ukuran perusahaan dan ukuran KAP berpengaruh positif terhadap fee audit. Sedangkan risiko perusahaan, kompleksitas perusahaan, dan profitabilitas tidak berpengaruh terhadap fee audit.
    Peneliti berikutnya diharapkan menggunakan objek yang berbeda dan mengembangkan variabel diluar penelitian ini. Sedangkan harapan untuk perusahaan dapat menjadi pertimbangan dalam penetapan fee audit. Batasan penelitian ini yaitu masih terdapat perusahaan yang tidak mengungkapkan nominal fee audit di laporan tahunannya.",657.45 - Auditing,Karya Ilmiah - Skripsi (S1) - Reference,Auditing,2021,"Universitas Telkom, S1 Akuntansi"
"PENGARUH WEBSITE DESIGN QUALITY, SERVICE QUALITY, TRUST DAN SATISFACTION TERHADAP REPURCHASE INTENTION (STUDI KASUS PADA WEBSITE TOKO SEPATU JK COLLECTION SHOES) REIZA YUDHA CHANDRA",REIZA YUDHA CHANDRA,REIZA YUDHA CHANDRA,Erni Martini,"Perkembangan pengguna internet saat ini berpengaruh juga terhadap perkembangan pemasaran yang ada. Dimana para pemilik usaha barang maupun jasa sudah beralih dari pemasaran tradisional yang dimana pada awalnya pemasaran tersebut melalui koran, majalah atau brosur kini telah berkembang ke pemasaran yang lebih modern seperti website, social media, e-commerce dan masih banyak lagi. Penelitian ini bertujuan untuk menganalisis dan menguji apakah 1.website design quality berpengaruh positif terhadap kepercayaan 2.apakah website design quality berpengaruh positif terhadap satisfaction 3.apakah service quality berpengaruh positif terhadap kepercayaan 4.apakah service quality berpengaruh positif terhadap satisfaction 5.apakah satisfaction berpengaruh positif terhadap kepercayaan 6.apakah satisfaction berpengaruh positif terhadap repurchase intention 7.apakah kepercayaan berpengaruh positif terhadap repurchase intention. Metode penelitian yang digunakan dalam penelitian ini adalah metode kuantitatif dengan pengumpulan data melalui penyebaran kuesioner kepada 200 responden dengan karakteristik merupakan pelanggan yang telah melakukan pembelian ulang di toko sepatu JK Collection Shoes. Pendekatan yang digunakan dalam penelitian ini merupakan Partial least Square-Structural Equation Modeling dengan program SmartPls. Skala yang digunakan dalam penelitian ini adalah skala likert. Penelitian ini menemukan bahwa website design quality, service quality dan satisfaction berpengaruh positif terhadap trust, website design quality dan service quality berpengaruh positif terhadap satisfaction, trust dan satisfaction berpengaruh positif terhadap repurchase intention.","658.8 - Marketing management, Management of distribution, Marketing goods, Marketing services, merchandising",Karya Ilmiah - Skripsi (S1) - Reference,Business Marketing,2021,"Universitas Telkom, S1 Manajemen (Manajemen Bisnis Telekomunikasi dan Informatika)"
PENGEMBANGAN BUSINESS MODEL CANVAS UNTUK BISNIS MIKRO COFFEE SHOP XAVIER ZHARIF MUHAMMAD,XAVIER ZHARIF MUHAMMAD,XAVIER ZHARIF MUHAMMAD,SISKA NOVIARISTANTI,"Dalam menjalankan bisnis, ide dan penentuan segmentasi penting, lalu dari semua itu muncullah yang dinamakan strategi, baik dalam bisnis kecil, menengah maupun atas semua dibutuhkan yang dinamakan perencanaan atau strategi demi mengetahui arah jalan bisnis mereka. Oleh karena itu penting bagi semua perusahaan dalam mengembangkan strategi mereka. Di dunia bisnis saat ini, penentuan strategi merupakan otak dari berjalannya sebuah usaha. Lain dari itu pula, dibutuhkan juga yang dinamakan Analisa untuk menentukan arah bisnis tersebut akan mengarah ke mana, baik dari demografi, segmentasi, wilayah, dan lain-lain. Lalu analisa juga dapat mengetahui kelemahan maupun kekuatan musuh yang dapat menciptakan banyaknya tantangan dalam berjalannya sebuah bisnis itu sendiri. Dewasa ini, banyak bisnis yang mengutamakan ide dan kreativitasnya dalam membuat bisnis, baik dalam sektor pelayanan maupun produk. Dalam penelitian ini, Keito coffee, Old Coffee, dan Lucky’s Coffee menjadi fokus utama kita dalam menganalisis strategi bisnis yang sudah mereka jalani selama beberapa tahun ini, dan lagi selanjutnya akan dijelaskan mengapa <em>Business Model Canvas</em> berperan penting dalam analisa bisnis yang menjadi titik fokus kita, sehingga tidak banyak tempat lain yang akan diulas. Dalam penelitian kali ini akan diupayakan untuk mencari titik kuat maupun titik kelemahan bisnis, lalu untuk pengumpulan data akan digunakan metode kualitatif yaitu wawancara yang melibatkan 5 orang yang merupakan 3 pemilik dari Bisnis itu sendiri yang merujuk pertanyaan terhadap pergerakan bisnisnya dan kemanakah arah akan berjalannya bisnis tersebut dan 2 orang dari pihak luar yang berasal dari konsultan bisnis dan dosen atau akademisi. Setelah dilakukan wawancara, maka hasil dari wawancara dapat disimpulkan dan juga dapat diolah untuk selanjutnya akan diolah dan ditampilkan sebaik mungkin. Hasil penelitian akan dipersembahkan berupa data primer yang hasilnya valid dan tanpa rekayasa. <strong>Kata Kunci</strong> : Analisa, Segmentasi, Kopi, Bisnis, <em>Business Model Canvas</em>",658.401 2 - STRATEGIC MANAGEMENT,Karya Ilmiah - Skripsi (S1) - Reference,Strategic  Planning,2021,"Universitas Telkom, S1 Manajemen (Manajemen Bisnis Telekomunikasi dan Informatika)"
Pengembangan Motif Batik Kembang Turi Dengan Desain Teknik Refleksi Simetri Untuk Perluasan Target Pasar SITI FATIMAH,SITI FATIMAH,SITI FATIMAH,"Morinta Rosandini, Pravitra Viniani","Kampung Batik Kembang Turi memiliki ciri khas motif batik yaitu Kembang Tur, Koi dan motif gendang. Warna khas dari batik Kembang Turi adalah merah dan hijau, dimana merah berasal dari khas Kota Blitar dan hijau warna asli tumbuhan Turi. Proses pembuatan batik yang dilakukan di Kelurahan Turi masih terbilang sederhana, dengan teknik motif satu langkah dan warna yang masih sederhana. Peneliti sebelumnya sudah melakukan pembaharuan motif dari Batik Kembang Turi. Tujuan dari penelitian ini adalah melanjutkan penelitian sebelumnya, dengan mengembangkan kembali motif dan warna batik Kembang Turi agar lebih inovatif dan dengan gaya yang lebih modern. Dengan menggunakan metode penelitian kualitatif dengan pengumpulan data berupa studi literatur, observasi, wawancara dan eksperimentatif. Dalam upaya tujuan akhir ialah memperluas pasar dari Batik Kembang Turi agar batik Kembang Turi Blitar dapat dikenal luas dan merambah pada target market perkotaan sperti Jakarta dan Surabaya.",746.662 - Batik Arts,Karya Ilmiah - Skripsi (S1) - Reference,Batik Patterns,2021,"Universitas Telkom, Fakultas Industri Kreatif"
PENGEMBANGAN PRODUK UMKM BATIK TULIS PEWARNA ALAMI CIWARINGIN CIREBON DENGAN PENGGABUNGAN TEKNIK TRITIK LOLY ARNI,LOLY ARNI,LOLY ARNI,"Fajar Ciptandi, Prafitra Viniani","Cirebon merupakan salah satu daerah penghasil karya tekstil batik di Indonesia. Daerah penghasil batik cirebon bukan hanya daerah Trusmi, tetapi juga terdapat di daerah Ciwaringin. Perkembangan batik Ciwaringin semakin pesat setelah mendapatkan pelatihan dari program CSR PT. Indocement Tunggal Perkasa, Tbk, Palimanan pada tahun 2010 hingga 2013. Perkembangan Batik Ciwaringin terus berlanjut dengan banyaknya kegiatan dan kunjungan ke lokasi pengrajin. Hal ini memacu pengrajin untuk terus berkarya dan mengembangkan produk mereka. Berdasarkan minat pengrajin tersebut, maka dilihat adanya peluang untuk memberikan pengembangan berupa penggabungan teknik batik ciwaringin dengan teknik ikat celup yang disesuaikan dengan kemampuan pengrajin. Penelitian ini untuk menghasilkan pengembangan produk baru yang sesuai dengan minat dan harapan masyarakat batik ciwaringin dan untuk menghasilkan batik inovatif dengan menggabungkan teknik ikat celup yang sesuai dengan kemampuan pengrajin batik ciwaringin. Berdasarkan wawancara, observasi lapangan, studi literatur dan eksplorasi. Hasil penelitian ini adalah penggabungan teknik batik tulis dan teknik tritik menggunakan pewarna alami pada satu lembar kain. Pengembangan produk batik yang sesuai dengan minat masyarakat ciwaringin yaitu dengan cara menggabungkan teknik batik tulis dengan teknik ikat celup tritik dalam satu lembar kain dengan  cara manipulasi pengerjaan teknik. Pengembangan ini dikerjakan secara bersama dan berkolaborasi untuk memberikan varian produk batik baru bagi pengrajin.",746.662 - Batik Arts,Karya Ilmiah - Skripsi (S1) - Reference,"Craft, Textile, Fashion",2021,"Universitas Telkom, Fakultas Industri Kreatif"
Pengolahan Motif Dengan Inspirasi Hasil Gambar Pengidap Gangguan Jiwa Menggunakan Teknik Batik YAYU YUNINGSIH,YAYU YUNINGSIH,YAYU YUNINGSIH,"Ahda Yunia Sekar, Citra Puspitasari","Salah satu yayasan yang ada di Tasikmalaya, yaitu Yayasan Mentari Hati yang merawat ODGJ alias orang dengan gangguan jiwa. Yayasan ini berusaha melayani masyarakat dengan menangani rehabilitasi orang yang menderita gangguan jiwa dari jalanan, dimana yayasan ini memiliki fungsi sebagai tempat merawat orang yang mengalami gangguan jiwa.  Berdirinya Yayasan Sosial ini membuktikan bahwa Yayasan ini sangat peduli terhadap permasalahan sosial yang terjadi di masyarakat, oleh karena itu dapat dikatakan bahwa Yayasan Mentari Hati telah berperan dengan merawat dan menyelesaikan permasalahan jiwa yang terjadi pada masyarakat Tasikmalaya dengan cara merawat dan mengobati orang gangguan jiwa dari jalanan.
Pendiri Yayasan ini berpikir bahwa orang dengan gangguan jiwa pun manusia yang membutuhkan perlakuan seperti layaknya manusia lainnya sehingga dengan kondisi ODGJ yang seperti itu, ODGJ ini pun masih mempunyai kemampuan untuk bisa memiliki ilmu baru ataupun pengetahuan baru sesuai kemampuannya.
Salah satu kegiatan yang bisa memberikan sebuah ilmu baru kepada ODGJ ini yaitu menggambar. Apa yang digambarkan oleh orang dengan gangguan jiwa memiliki karakteristik tersendiri, memiliki cerita yang akan lebih mudah disampaikan lewat gambar tersebut sehingga gambar- gambar dari ODGJ ini memiliki potensi yang dapat diolah kembali menjadi sebuah produk kriya yang bernilai guna yang dapat memberikan identitas kepada Yayasan Mentari Hati.
Dalam pembuatan produk fashion, peneliti mengaplikasikan teknik batik karena batik sendiri merupakan ciri khas Indonesia yang menjungjung tinggi nilai budaya. Dengan itu peneliti berharap produk fashion yang di hasilkan dapat menjadi potensi baru dalam perkembangan motif dari gambar ODGJ yang memiliki cerita dan karakter tersendiri serta menjadikan identitas bagi Yayasan Mentari Hati yang merawat ODGJ tersebut.",746.662 - Batik Arts,Karya Ilmiah - Skripsi (S1) - Reference,Motif Design,2021,"Universitas Telkom, Fakultas Industri Kreatif"
PENGOLAHAN MOTIF DENGAN INSPIRASI VISUAL  TES RORSCHACH MENGGUNAKAN TEKNIK DIGITAL PRINTING VANILIA FLAMIVOLIA,VANILIA FLAMIVOLIA,VANILIA FLAMIVOLIA,"Ahda Yunia Sekar, Citra Puspitasari","Seiring dengan kemajuan industri fashion, pakaian bukan lagi hanya tentang menutup tubuh, namun juga merupakan sebuah identitas cara mengekspresikan seseorang dan dapat mencerminkan kepribadian pengguna juga menjadi pesan nonverbal dimana pakaian yang digunakan memiliki arti dalam mengekspresikan diri dan digunakan sebagai pesan yang disampaikan dari penampilan. Perkembangan fashion juga diiringi dengan berkembangnya motif, fenomena ini didasari oleh pola tren fashion dan perkembangan zaman. Dalam perkembangan motif dibutuhkan variasi baru baik dari pengembangan motif juga teknik pengolahan guna meningkatkan nilai jual, daya saing, dan keunikan di dunia fashion. Dengan perkembangan motif saat ini, pengolahan motif dilakukan berbagai cara dengan karakter ilustrasi yang memiliki karakteristik yang khas. Seiring berjalannya waktu, perkembangan tren fashion dan motif saat ini, muncul berbagai busana kekinian yang meramaikan tanah air, dimana fashion juga menjadi identitas dan mencerminkan kepribadian pengguna baik dengan motif atau fashion itu sendiri. Penulis bertujuan untuk mengaplikasikan motif yang terinspirasi dari visual tes kepribadian Rorschach, yaitu sebuah tes psikologi bertujuan mengetahui kecenderungan karakter, emosional dan mendeteksi masalah psikologi ke dalam busana ready-to-wear. Dengan metode penelitian kualitatif, penulis mengkaji studi literatur mengenai tes Rorschach dan kemudian melakukan eskplorasi. Penelitian ini menghasilkan motif baru yang terisnpirasi dari tes Rorscahch dengan tujuan untuk memaksimalkan potensi visual yang dimiliki tes tersebut dengan teknik digital printing.",746.92 - Fashion Design,Karya Ilmiah - Skripsi (S1) - Reference,Fashion Design,2021,"Universitas Telkom, Fakultas Industri Kreatif"
PENGOLAHAN MOTIF DENGAN TEKNIK BORDIR YANG TERINSPIRASI LUKISAN IMPRESIONISME AZI SALMAN FARID,AZI SALMAN FARID,AZI SALMAN FARID,"Ahda Yunia Sekar F, Aldi Hendrawan","Melihat potensi dari fenomena adanya karya desainer yang mengkolaborasikan seni rupa dengan fesyen. Kolaborsi antara seni rupa dan fesyen sudah ada sejak tahun 1930-an, kolaborasi terjadi antara Elsa Schiaparelli dengan seniman Salvador Dali. Seni rupa berupa lukisan dijadikan inspirasi pembuatan motif. Kebanyakan motif diolah dan diaplikasikan pada kain dengan menggunakan teknik printing. Padahal teknik lain memliki potensi lebih salah satunya teknik bordir. Teknik bordir memberi tekstur dan kesan timbul pada kain sehingga lebih berbeda dari pengunaan teknik yang lain. Lukisan impresionisme dipilih karena sapuan kuas pada lukisan tersebut berkarakter tegas dan jelas seperti dengan karakteristik visual yang dihasilkan benang pada teknik bordir.",746.92 - Fashion Design,Karya Ilmiah - Skripsi (S1) - Reference,Fashion & Textile Industry,2021,"Universitas Telkom, Fakultas Industri Kreatif"
Perancangan (New Design) Hotel Bisnis Bintang 4 di Kota Pekanbaru dengan Pendekatan Aktivitas Bisnis NABILA AKIFAH,NABILA AKIFAH,NABILA AKIFAH,"Ully Irma Maulina Hanafiah, Irwana Zulfia Budiono","Kota Pekanbaru merupakan salah satu kota di pulau Sumatra yang mengalami kemajuan pesat di berbagai sektor dan bidang. Salah satunya adalah pencapaian kota Pekanbaru di bidang bisnis. Berkat berbagai kegiatan jasa, perdagangan, dan industry, yaitu Meeting, Incentive, Conference, Exhibition (MICE) dan manufaktur, Kota Pekanbaru dinobatkan sebagai kota investasi terbaik di Indonesia. Banyaknya bisnis yang berkembang di Kota Pekanbaru membuat kota ini membutuhkan fasilitas yang mendukung kegiatan bisnis seperti hotel bisnis berbintang yang berfungsi sebagai sarana untuk menginap serta menyediakan fasilitas yang lengkap untuk berbisnis. Mercure merupakan salah satu brand hotel bisnis internasional berskala menengah yang memiliki reputasi yang baik di dunia internasional. Brand mercure pada umumnya menyediakan akomodasi yang terletak di kawasan yang strategis, memiliki akses yang mudah, dan juga menyediakan fasilitas Meeting, Incentive, Conference, Exhibition (MICE) yang dibutuhkan oleh kota Pekanbaru. Sehingga secara keseluruhan brand mercure dinilai sangat mendukung perancangan ini. Metode yang digunakan dalam penulisan ini yaitu dengan menetapkan objek, pengumpulan data survey, studi literatur dan preseden ideal mengenai hotel, menganalisis data, penerapan konsep pada interior. Perancangan Hotel Mercure dengan pendekatan aktivitas bisnis diharapkan dapat menciptakan hotel bisnis bintang 4 di kota Pekanbaru yang dapat mewadahi kegiatan investasi melalui fasilitas Meeting, Incentive, Conference, Exhibition (MICE) yang sesuai dengan standarisasi dan sesuai dengan karakter brand mercure, serta dapat menyediakan fasilitas Work from Hotel (WFH) dengan penanganan COVID-19 yang sesuai dengan protocol kesehatan. Kata kunci: Hotel, MICE, Bisnis, Mercure, WFH","729 - Design and decoration of structures and accessories, Interior architecture",Karya Ilmiah - Skripsi (S1) - Reference,Architecture Design,2021,"Universitas Telkom, Fakultas Industri Kreatif"
PERANCANGAN BARU BOARDING SCHOOL  CINTA QURAN CENTER DI BINTARO TANGERANG SELATAN NANDANA RIZQULLAH SUWARDANA,NANDANA RIZQULLAH SUWARDANA,NANDANA RIZQULLAH SUWARDANA,"Tita Cardiah, Nur Arief Hapsoro","Sekolah merupakan lembaga tempat dilaksanakanya kegiatan belajar mengajar yang dilaksanakan oleh peserta didik dan tenaga pendidik. sekolah boarding adalah jenis sekolah yang menggunakan konsep sekolah, hotel, dan restoran sehingga tatap muka antara peserta didik dan tenaga pendidik dapat dilakukan selama 24 jam dalam sehari di sekolah maupun di asrama. Kenyamanan dalam setiap ruangnya diperlukan suasana yang dinamis dan tidak membosankan agar siswa yang belajar di dalam nya memiliki fokus dan kreatifitas yang baik dalam menerima pembelajaran. Perancangan ini diharapkan dapat memenuhi kebutuhan fasilitas penunjang kegiatan belajar mengajar untuk remaja yang menjadi penerus bangsa dengan karakter dan keahliannya masing-masing.","747 - Interior Decoration, Interior Design",Karya Ilmiah - Skripsi (S1) - Reference,Interior Design,2021,"Universitas Telkom, Fakultas Industri Kreatif"
