Title,Field1,Penulis1,Penulis2,Abstrak,Klasifikasi,Jenis,Subjek,Tahun,Penerbit
ENTERPRISE ARCHITECTURE SISTEM PEMERINTAHAN BERBASIS ELEKTRONIK (SPBE) PADA DOMAIN LAYANAN DI LINGKUNGAN PEMERINTAH DAERAH KABUPATEN SUKABUMI DEVITA WULANDARI,DEVITA WULANDARI,DEVITA WULANDARI,"Soni Fajar Surya Gumilang, Rahmat Mulyana","Dalam rangka meningkatkan tingkat kematangan Sistem Pemerintah Berbasis El-ektronik (SPBE) dan mematuhi Peraturan Presiden No. 95 Tahun 2018, Pemerintah Kabupaten Sukabumi perlu melakukan standarisasi terhadap perancangan SPBE agar dapat terimplementasi dan terintegrasi dengan baik dalam memanfaatkan kemajuan teknologi secara optimal. Salah satu kerangka kerja yang bisa digunakan untuk merancang arsitektur SPBE yaitu menggunakan Enterprise Architecture (EA). EA bertujuan untuk memenuhi kesenjangan antara kebutuhan pemangku kepentingan dengan ketersediaan layanan administrasi pemerintahan. Fokus utama  pada perancangan EA SPBE ini yaitu pada domain layanan SPBE yang mencakup Layanan Administrasi Pemerintahan Berbasis Elektronik dan Publik Berbasis Elektronik.","658.403 8 - Information management, Gathering of information by management for use in managerial decision making, Information resources, Knowledge management",Karya Ilmiah - Skripsi (S1) - Reference,"Enterprise-architecture, Information Management,",2021,"Universitas Telkom, S1 Sistem Informasi"
ENTERPRISE ARCHITECTURE SISTEM PEMERINTAHAN BERBASIS ELEKTRONIK (SPBE) PADA DOMAIN PROSES BISNIS DI LINGKUNGAN PEMERINTAH DAERAH KABUPATEN KUNINGAN GEDE SUDANTA NETHAN KURU,GEDE SUDANTA NETHAN KURU,GEDE SUDANTA NETHAN KURU,"Soni Fajar Surya Gumilang, Ryan Adhitya Nugraha","Pemanfaatan teknologi informasi semakin terasa dampaknya di setiap bidang kehidupan. Salah satunya pada bidang pemerintahan. Hal ini juga mendorong Pemerintah Indonesia untuk menerapkan Sistem Pemerintahan Berbasis Elektronik (SPBE) atau e-Government sebagai bentuk reformasi birokrasi. Salah satu tujuan SPBE yaitu mewujudkan pelayanan publik yang berkualitas dan terpercaya. Penerapan SPBE dilakukan pada tingkat nasional, instansi pusat, dan pemerintah daerah. Salah satu kabupaten yang telah menerapkan SPBE di Indonesia adalah Kabupaten Kuningan, Jawa barat. Namun, jika dilihat berdasarkan data Portal SPBE Nasional, tingkat maturitas dari SPBE Kabupaten Kuningan masih berada pada kategori cukup dengan indeks nilai 2,11 poin. Untuk itu, diperlukan adanya optimalisasi TI dengan perancangan Enterprise Architecture (EA) dalam penyelenggaraan SPBE di lingkungan Pemerintah Daerah Kabupaten Kuningan. Sesuai dengan amanat Peraturan Presiden No. 95 tahun 2018, salah satu domain penting dalam arsitektur SPBE yaitu pada domain proses bisnis, karena efektivitas dan efisiensi birokrasi di dalam pemerintahan sangat terkait dengan proses bisnis yang di dukung dengan aplikasi, infrastruktur dan manajemen data yang baik. Perancangan Enterprise Architecture pada penelitian ini mengacu pada arsitektur SPBE dan TOGAF ADM. Perancangan dimulai  dari fase preliminary, architecture vision, hingga arsitektur proses bisnis yang akan menghasilkan artefak EA berupa matriks, katalog, dan diagram. Solusi akhir perancangan EA ini menghasilkan model rancangan cetak biru domain arsitektur proses bisnis SPBE Pemerintah Kabupaten Kuningan.","658.403 8 - Information management, Gathering of information by management for use in managerial decision making, Information resources, Knowledge management",Karya Ilmiah - Skripsi (S1) - Reference,"Enterprise-architecture, Information Management,",2021,"Universitas Telkom, S1 Sistem Informasi"
ESTIMASI NILAI TI MENGGUNAKAN METODE PARTIAL ADJUSTMENT VALUATION (PAV) DENGAN DYNAMIC SPEED OF ADJUSTMENT FAKTOR MVA PADA PERUSAHAAN BERBASIS TI MAIZIAH AZKA NURHAKIM,MAIZIAH AZKA NURHAKIM,MAIZIAH AZKA NURHAKIM,"Lukman Abdurrahman, Rokhman Fauzi","Penelitian ini membahas tentang substansi nilai TI dalam perusahaan berbasis TI, yaitu PT. Telkom Indonesia. Metode yang diterapkan adalah pendekatan Partial Adjustment Valuation (PAV), yang menyatakan bahwa perubahan output yang terjadi pada proses produksi biasanya tidak sama persis dengan yang diinginkan, maka koefisien Speed of Adjustment dibutuhkan sebagai jembatan antara output yang diinginkan dengan output nyata. Penelitian ini menggunakan Speed of Adjustment dinamis karena metode tersebut biasa digunakan untuk menghitung nilai TI yang bersifat fluktuatif tiap periodenya, dan faktor yang digunakan untuk mengukur kedinamisannya adalah Market Value Added (MVA), faktor dinamis lainnya seperti EVA, Tobins’s Q dan MTBV juga akan dibahas secara singkat pada penelitian sebagai pembanding. Untuk membuktikan keberadaan manfaat dari nilai TI terhadap perusahaan, penelitian ini menggunakan pengujian menggunakan dua model perhitungan: model tiga faktor (K, L, dan I) dan model dua faktor (K, dan L). K merupakan nilai ekuitas perusahaan, L adalah biaya tenaga kerja, dan I adalah biaya TI. Hasil dari pengukuran tersebut juga dibedakan menjadi dua jenis yaitu pengukuran berdasarkan satuan mata uang (Performance Value) dan berdasarkan satuan rasio (Performance Ratio). Penelitian tugas akhir ini mengarah kepada pemahaman bahwa nilai TI itu nyata dalam meningkatkan kinerja bisnis, dan menyangkal paradoks yang menyatakan bahwa tidak ada hubungannya antara pengeluaran/investasi TI dengan ukuran keuntungan yang akan diterima organisasi/perusahaan. Dengan deminian, hasil penelitian ini terbuka untuk studi yang membahas tentang nilai TI untuk berkembang lebih lanjut.","332.632 21 - Valuation, Dividends paid, Price-earning ratio",Karya Ilmiah - Skripsi (S1) - Reference,Valuation Of Business,2021,"Universitas Telkom, S1 Sistem Informasi"
IMPLEMENTASI MODEL ANALISIS PREDIKTIF DALAM SAP ANALYTICS CLOUD DIGITAL SERVICE UNTUK FUNCTIONAL DASHBOARD DESIGN PADA MODUL FINANCE (Studi Kasus PT. XYZ) SABIL NARARYA,SABIL NARARYA,SABIL NARARYA,"Muhardi Saputra, Warih Pustpitasari","Dalam melakukan proses monitoring yang dilakukan Board of Directors pada divisi Finance, dibutukan sebuah sistem ERP aplikasi dashboard yang dapat menunjang monitoring yang dilakukan Board of Directors di setiap divisi terutama divisi Finance. Oleh karena itu diperlukan sebuah aplikasi dashboard yang dapat terintegrasi dengan data yang dituju agar dapat menampilkan dara secara real time dengan satu enviroment untuk memenuhi kebutuhan, efektifitas dan efisiensi perusahaan dalam menampilkan data dalam bentuk dashboard. Adapula fitur lain yang diperlukan yaitu dashboard harus bisa diakses dari berbagai platform seperti PC, Tablet, Smatrphone, dll. Agar dapat memberikan efektifitas pengambilan keputusan dari data yang ditampilkan pada dashboard, maka diperlukan fitur analisis prediktif untuk melakukan prediksi pada data yang ada untuk di análisis yang akan membantu pada proses pengambilan keputusan untuk kedepannya. Maka dari itu dibutuhkan implementasi SAP Analytics Cloud agar semua fungsi yang dibutuhkan perusahaan dalam meningkatkan efektifitas dan efisiensi penampilan data dapat terealisasikan. Proses implementasi dilakukan dengan metode Accelerated SAP, dimana proses ini memiliki 5 tahapan utama yaitu project preparation, business blueprint, realization, final preparation, dan go-live and support. Batas dari penelitian ini adalah proses realization dari metode Accelerated SAP dimana proses ini akan berfokus pada proses implementasi SAP Analytics Cloud modul finance.","004.6782 - CLOUD COMPUTING, CLOUD TECHNOLOGY",Karya Ilmiah - Skripsi (S1) - Reference,Enterprise Resource Planning,2021,"Universitas Telkom, S1 Sistem Informasi"
PENAMBAHAN DEKOMPOSISI PROSES PADA MODUL DATA CLEANSING BERBASIS OPEN SOURCE TOOLS DITA APRILLIA RAHMANI,DITA APRILLIA RAHMANI,DITA APRILLIA RAHMANI,"Tien Febrianti Kusumasari, Ekky Novriza Alam","Pada perkembangan teknologi saat ini, data memiliki peran penting untuk mendukung pencapaian tujuan bagi perusahaan. Pentingnya data bagi perusahaan yaitu untuk pemenuhan kualitas menunjang kebutuhan bisnis perusahaan. Kualitas tinggi yang dimiliki oleh data bernilai penting bagi perusahaan. Namun banyak terjadi kesalahan pada data sehingga mengurangi kualitasnya. Data dengan kualitas yang rendah yaitu data tersebut tidak akurat, tidak lengkap, atau kadaluwarsa. Perlu adanya manajemen kualitas data atau Data Quality Management untuk mengatur peningkatan kualitas data menjadi data yang konsisten, akurat, lengkap, tepat waktu, dan unik. Mengatur kualitas data tersebut perlu adanya data cleansing. Data cleansing adalah metode untuk memperbaiki data-data yang berkualitas rendah tersebut dengan menghasilkan data dengan kualitas tinggi. Oleh karena itu penelitian ini akan membahas analisa dan perancangan dekomposisi pemecahan paket-paket proses untuk data cleansing guna memperbaiki kualitas pada data yang tidak sesuai kebutuhan perusahaan. Perancangan penelitian ini menggunakan metode iterative incremental, dimana iterative incremental merupakan metode dalam pengembangan yang terdiri dari aktivitas-aktivitas yang disusun secara berurutan dan bersifat fleksibel dalam perubahan yang akan terjadi dalam proses pengembangan. Pada perancangan yang dilakukan, penulis memberikan beberapa solusi berdasarkan analisa untuk memenuhi kebutuhan dalam proses data cleansing bagi perusahaan secara fleksibel dengan dekomposisi paket proses yang akan diimplementasikan menggunakan open source tools yaitu Pentaho Data Integration sebagai hasil akhir dari penelitian ini. Terdapat evaluasi dengan komparasi menggunakan OpenRefine yang menghasilkan hasil data cleansing menggunakan Pentaho Data Integration lebih unggul dalam proses pembersihan data secara menyeluruh.","004 - Data Processing, Computer Science/Pemrosesan Data, Ilmu Komputer, Teknik Informatika, Hardware Komputer",Karya Ilmiah - Skripsi (S1) - Reference,Data Processing-oda Standard,2021,"Universitas Telkom, S1 Sistem Informasi"
PENGEMBANGAN APLIKASI PENJUALAN TIKET WISATA BERBASIS MOBILE APPLICATION UNTUK DESA WISATA ALAMENDAH RANCABALI MENGGUNAKAN METODE EXTREME PROGRAMING WIBI ADITAMA,WIBI ADITAMA,WIBI ADITAMA,"Deden Witarsyah, Margareta Hardiyanti","Desa Alamendah adalah desa di kecamatan Rancabali, Bandung, Jawa Barat, 
Indonesia. Salah satu desa agronomi termaju dan terdapat di kecamatan Rancabali 
dengan mayoritas matapencaharian penduduknya petani dan pedagang. Desa 
Alamendah ditetapkan sebagai desa wisata dengan keputusan Bupati Bandung 
Nomor 556.42/kep.71- DISBUDPAR/2011 Tertanggal 2 Februari 2011. Dengan 
ditetapkannya sebagai desa wisata, Desa Alamendah telah resmi menjadi desa 
wisata. Desa Wisata Alamendah merupakan sebuah program yang bertujuan untuk 
memberdayakan ekonomi desa tersebut dengan mengubahnya menjadi sebuah 
lokasi wisata. Salah satu cara untuk memberdayakan dan mengembangkan sektor 
pariwisata pada desa wisata Alamendah Rancabali adalah dengan melakukan 
penjualan tiket secara online atau biasa disebut dengan E-ticket (tiket elektronik). 
E-ticket banyak digunakan di acara-acara besar karena akses dan untuk
mendapatkannya mudah karena pengunjung atau pembeli tidak datang langsung 
ke lokasi pembelian tiket, cukup hanya memesan lewat media internet dan 
membayar sesuai kesepakatan harga e-ticket tersebut dan menghasilkan produk 
yang efektif dan efisien. Saat ini e-ticket telah menggantikan tiket konvensional 
di banyak bidang, dan salah satu contohnya adalah pada dunia pariwisata. Dengan 
adanya e-ticket, pembeli atau user akan lebih mudah untuk melakukan pencetakan 
tiket dan lebih mudah saat melakukan pembelian. Selain itu, dengan 
berkembangnya Teknologi Informasi, maka untuk memberdayakan desa wisata 
Alamendah memerlukan metode yang berbda dan mengikuti perkembangan dari 
Teknologi Informasi itu sendiri. Banyak orang yang memiliki perangkat 
elektronik portable, seperti smartphone dan tablet yang mampu mengirimkan 
berbagai macam informasi. Pengguna smartphone di Indonesia semakin 
meningkat setiap tahun. Pada tahun 2017 tercatat 103 juta pengguna smartphone
di Indonesia. Para pengguna smartphone di Indonesia sangat beragam mulai dari 
kalangan menengah sampai ke atas, dari yang muda sampai yang tua. Oleh karena 
itu, selain mengikuti trend dan perkembangan zaman, pemasaran dan 
pengembangan suatu tempat pariwisata juga dapat dilakukan dengan 
menggunakan sistem perangkat lunak dan mobile application agar dapat lebih 
ii
memperluas jangkauan pemasaran dan dapat dengan mudah diakses oleh 
masyarakat. Pengembangan sistem perangkat lunak dan mobile application dapat 
dilakukan dengan beberapa metode dan menggunakan beberapa tools seperti 
Android Studio, Unreal Engine, Unity, Adobe Phone Gab, Flutter, Manifoldjs, 
dan masih banyak lagi. Android studio adalah salah satu dari banyak sistem 
perangkat lunak yang berfungsi untuk pengembangan mobile application
terutama pada Android. Selain tools yang sudah cukup banyak untuk 
pengembangan mobile application, ada beberapa metodologi untuk melakukan 
pengembangan sistem perangkat lunak dan mobile application. Metode yang akan 
digunakan pada penelitian ini adalah Extreme Programming dari Agile, karena 
karakteristik yang cocok dengan penelitian ini yang memiliki jumlah tim yang 
sedikit. Metode ini juga bersifat fleksibel terhadap perubahan – perubahan yang 
akan datang dikarenakan aplikasi yang akan dibuat menyesuaikan keinginan dan 
kebutuhan customer yang akan menggunakan aplikasi ini. Oleh karena itu peneliti 
memilih untuk menggunakan metode Extreme Programming dalam 
mengembangkan mobile application untuk Desa Wisata Alamendah Rancabali
karena mendukung pengembangan aplikasi yang kompleks dan dikembangkan 
oleh tim yang memiliki sedikit anggota. Dari hasil penelitian ini dengan 
menerapkan metode pengembangan Extreme Programming, peneliti berhasil 
mengembangkan aplikasi mobile penjualan tiket wisata Desa Alamendah 
Rancabali. Hasil implementasi aplikasi pada perangkat Android dapat dilihat pada 
Lampiran. Hasil tersebut diharapkan dapat berguna untuk studi literatur penelitian 
berikutnya dan agar dapat meningkatkan kinerja dan fungsionalitas dari aplikasi 
mobile yang telah berhasil peneliti kembangkan.","005.2 - Programming for specific types of computers, for specific operating systems, for specific user interfaces",Karya Ilmiah - Skripsi (S1) - Reference,Android,2021,"Universitas Telkom, S1 Sistem Informasi"
PENGEMBANGAN APLIKASI PEUNTAS BERBASIS WEBSITE PADA MODUL LAYANAN PELAPORAN UNTUK MANAJEMEN PERSIMPANGAN LALU LINTAS DENGAN METODE SCRUM (Studi Kasus: Dinas Perhubungan Kota Bandung) ARRIZAL FAUZAN BARLIANA,ARRIZAL FAUZAN BARLIANA,ARRIZAL FAUZAN BARLIANA,"Sinung Suakanto, Nopendri","Perkembangan teknologi saat ini sangat dibutuhkan manusia untuk membantu menyelesaikan aktivitas sehari-hari. Perkembangan teknologi ini sangat dibutuhkan di setiap kantor, industri, akademik, pemerintahan dan masyarakat untuk berbagai keperluan. Dinas Perhubungan (DISHUB) Kota Bandung adalah salah satu instansi yang mengikuti perkembangan teknologi. DISHUB Kota Bandung saat ini sudah memiliki aplikasi manajemen lalu lintas bernama Area Traffic Control Sistem (ATCS). Namun saat ini terdapat permasalahan mengenai pelaporan insiden dan feedback dari masyarakat. Beberapa insiden atau kecelakaan yang diakibatkan oleh sarana dan prasarana jalan raya tentunya akan mendapatkan perhatian lebih dari DISHUB. DISHUB dapat memonitor dimana saja kejadian kecelakaan atau insiden yang diakibatkan karena sarana dan prasarana. Solusi yang diberikan untuk membantu menyelesaikan permasalahan yang dimiliki oleh DISHUB Kota Bandung adalah dengan dengan mengembangkan sistem informasi manajemen persimpangan lalu lintas Bernama PEUNTAS. Oleh karena itu diperlukan pengembangan sebuah aplikasi berbasis website dengan nama PEUNTAS untuk Manajemen Persimpangan Lalu Lintas dengan harapan dapat memecahkan permasalahan yang sedang dihadapi oleh DISHUB Kota Bandung. Aplikasi PEUNTAS yang dikembangkan akan memberika fitur-fitur yang dapat dimanfaatkan oleh pihak DISHUB Kota Bandung dalam mendapatkan informasi mengenai pelaporan insiden yang terjadi di persimpangan lalu lintas dan feedback yang diberikan dari pengguna umum serta pengguna umum dapat lebih mudah mendapatkan informasi mengenai insiden yang sedang terjadi di persimpangan lalu lintas. Kata kunci — manajemen lalu lintas, website, pelaporan insiden, feedback","658.312 404 - Development and administration of training programs, Evaluation of training programs, Selection and training of training personnel, Teaching methods",Karya Ilmiah - Skripsi (S1) - Reference,Development,2021,"Universitas Telkom, S1 Sistem Informasi"
"PENGEMBANGAN SISTEM ERP DAN DASHBOARD
SUSTAINABLE SUPPLY CHAIN MANAGEMENT MODUL 
SALES MANAGEMENT PADA INDUSTRI PENYAMAKAN 
KULIT MENGGUNAKAN METODE QUICKSTART AVEICENA KEMAL ADRIANSYAH",AVEICENA KEMAL ADRIANSYAH,AVEICENA KEMAL ADRIANSYAH,"Ari Yanuar Ridwan, Umar Yunan Kurnia Septo Hediyanto","Dewasa ini, industri teksktil semakin bertumbuh pesat. Hal ini disebabkan oleh tiga 
kalangan yang memainkan pernanan krusial. Kalangan pertama, yaitu kelompok 
masyarakat yang membeli pakaian karena kewajiban dari pekerjaan, sehingga harus 
memiliki beberapa pasang pakaian yang selalu siap pakai. Selanjutnya ada kalangan 
kedua, yaitu kelompok masyarakat yang berbelanja pakaian, hanya pada hari-hari 
besar. Walaupun intensitas yang tidak terlalu sering, namun ketika moment spesial 
itu tiba. Munculah kecenderungan untuk membeli lebih dari satu potong pakaian. 
Selanjutnya ada kalangan ketiga, yaitu kelompok masyarakat yang membeli busana 
karena mengikuti tren terbaru. Secara tidak sadar, hal ini sudah tertanam dalam 
alam bawah sadar, jika ada tren baru yang muncul. Maka kalangan tersebut merasa 
memiliki kewajiban, untuk ikut serta dengan tren tersebut. 
Secara tidak langsung, dengan semakin banyaknya kebiasaan membeli dengan pola 
tersebut. Maka industri teksktil juga akan berusaha mendorong jumlah produksi 
hingga kapasitas maksimal, sampai terkadang menyisakan limbah yang beraneka 
ragam. Mulai dari bahan baku untuk pembuatan pakaian, hingga barang lain yang 
digunakan untuk operasional, seperti plastik, selotip, hingga kardus. Sedangkan, 
dibeberapa toko sudah mulai marak yang menjual pengemasan ramah linkungan. 
Selain hal tersebut, mayoritas jasa ekspedisi untuk jarak menengah hingga jauh, 
menggunakan bahan bakar minyak solar sebagai piliihan utama. 
Sedangkan pemerintah sudah mulai menyediakan stasiun pengingisian bahan bakar 
gas di beberapa tempat. Jika dibandingkan, ternyata BBG lebih murah 10% 
dibandingkan BBM solar. Maka penggunaan BBG sebagai bahan bakar utama itu 
secara langsung akan mengurang biaya pengeluaran dan lebih ramah lingkungan. 
Di sisi lain, CV. Suraya Wahana ini membutuhkan suatu sistem, yang dapat 
membantu proses penjualan produk kepada pelanggan dengan proses yang lebih 
ramah lingkungan dan semua proses penjualan dapat diakses melalui satu sistem 
yang terintegrasi. Maka dari itu, pada proyek ini peneliti melakukan perancangan 
sistem ERP dengan modul sales. 
Selain itu, data transaksi yang dilakukan oleh divisi penjualan, dapat ditampilkan 
pada sebuah sistem dashboard. Dengan semakin beragam data yang dapat 
ditampilkan oleh dashboard. Sehingga rancangan sistem dashboard ini dapat 
menampilkan indikator sustainable yang didasari oleh Key Performance Indicator
yang sudah ditentukan oleh CV. Suraya Wahana. Namun, selain dapat 
menampilkan Key Performance Indicator secara keseluruhan, rancangan sistem 
dashboard ini juga dapat menampilkan performa dari masing-masing Key 
Performance Indicator secara terpisah. Hal ini bergantung dengan data apa saja 
yang ingin ditampilkan dan tidak, semua pengaturan ini dapat dilakukan 
menggunakan fitur filter di sustainable sales dashboard. Selain fitur filter, pada 
sustainable sales dashboard ini juga memiliki fitur navigasi antar halaman, 
sehingga akan lebih memudahkan jika ingin berpindah halaman secara lebih cepat. 
Tentu saja, untuk dapat menampilkan sustainable sales dashboard itu, 
diperlukannya beberapa data dari sistem Odoo untuk dapat ditampilkan. Mayoritas 
data yang digunakan itu, bersumber dari data transaksi penjualan. Maka dari itu, 
beberapa penyesuaian pun juga dilakukan pada modul sales di sistem Odoo, antara 
lain; menambahkan sustainable product variants, sustainable product shipping, 
sustainable promotions program, sustainable customer data, coupon program, 
sales team, dan delivery method. Namun, seluruh rancangan ini tidak dapat 
dijalankan sistematikan dan metodologi yang digunakan tidak sesuai. Maka dari itu, 
proyek ini menggunakan metode Quickstart yang memang diciptakan untuk 
digunakan pada sistem Odoo pada proses perancangannya.",005.372 - Information System-Research Method,Karya Ilmiah - Skripsi (S1) - Reference,Sustainable Development,2021,"Universitas Telkom, S1 Sistem Informasi"
Pengembangan User Interface Website Pada Startup Kegunung Menggunakan Metode Design Thinking MUHAMMAD NAUFAL,MUHAMMAD NAUFAL,MUHAMMAD NAUFAL,"Sinung Suakanto, Ekky Novriza Alam","Dalam beberapa tahun belakangan ini aktivitas yang dilakukan di alam terbuka menjadi sebuah trend yang diminati oleh semua kalangan, baik wisatawan lokal maupun mancanegara. Taman nasional menjadi salah satu destinasai wisata yang sering dikunjungi. Data yang telah diterbitkan oleh KLHK pada tahun 2019 menyatakan total kunjungan taman nasional dari wisatawan lokal maupun mancanegara mencapai 7.930.488. Berdasarkan data tersebut, taman nasional gunung menjadi tempat yang paling sering dikunjungi. Mendaki gunung bagi sebagian orang merupakan sebuah rutinitas yang dijalani. Pengguna internet yang ada di Indonesia berkembang pesat, hasil dari survei yang dilakukan APJII mencatat pengguna internet di Indonesia mencapai 196.7 juta. Dengan hal ini, membuat startup Kegunung mengembangkan aplikasi website agar dapat digunakan oleh pengguna. Kegunung adalah aplikasi berbasis website yang menghadirkan fitur sewa alat untuk membantu memasarkan toko-toko yang menyewakan alat yang dimiliki untuk dapat disewakan kepada pendaki gunung atau wisatawan. Keunggulan yang dihadirkan oleh Kegunung seperti metode pembayaran yang mudah, pengantaran barang, dan pengantaran barang. Dalam penelitian ini, mengembangkan desain antarmuka website aplikasi Kegunung fitur sewa alat menggunakan metode design thinking. Design thinking sebuah metode yang berpusat pada manusia terhadap inovasi yang diambil dari perangkat perancangan untuk mengintegrasikan kebutuhan orang-orang, kemungkinan teknologi, dan persyaratan bisnis. Metode ini dibagi menjadi lima tahap yaitu empathize, define, ideate, prototyping, dan testing. Selain itu, pengujian yang dilakukan menggunakan usability tool maze, dengan hasil MIUS dan MAUS termasuk tinggi dengan nilai 82, berdasarkan hal tersebut rancangan prototipe dapat diterima oleh pengguna.","005.437 - User interfaces; graphical user interfaces, windowing programs",Karya Ilmiah - Skripsi (S1) - Reference,User Interfaces,2021,"Universitas Telkom, S1 Sistem Informasi"
PERANCANGAN SISTEM AKUTANSI KEUANGAN TERINTEGRASI PADA ERP RUN SYSTEM DENGAN METODE MODULAR PADA SEKTOR AGRIBISNIS (STUDI KASUS PT XYZ) TASYA RONAULY,TASYA RONAULY,TASYA RONAULY,"Muhardi Saputra, Warih Pustpitasari","PT XYZ merupakan perusahaan Badan Usaha Milik Negara yang memiliki peran strategis dalam mendukung kelestarian lingkungan, sosial budaya, dan ekonomi masyarakat kehutanan nasional. Agribisnis menjadi perhatian tersendiri sebagai sektor yang menjadi tonggak utama dalam menggerakkan perekonomian Indonesia. Terdapat banyak permasalahan dalam sektor pertanian, salah satunya adalah pelaporan keuangan. Proses bisnis akuntansi keuangan yang saat ini berjalan di perusahaan ini masih menggunakan proses manual dan belum terintegrasi secara penuh sehingga tidak efektif dan efisien. Sistem pelaporan dan pencatatan yang masih manual menyebabkan perusahaan membutuhkan waktu yang lama dalam pengelolaan data dan sering ditemukan data yang tidak konsisten karena belum terintegrasi dari unit terbawah hingga pusat sehingga sistem yang ada dinilai kurang efektif dan efisien. RUN SYSTEM merupakan software ERP dengan salah satu modulnya yaitu Financial and Cost Control Management yang dapat meningkatkan proses akuntansi keuangan di PT XYZ. Menerapkan modul RUN SYSTEM Financial and Cost Control Management akan menggunakan metodologi Modular. Oleh karena itu, penelitian ini dilakukan untuk membantu perusahaan dalam merancang sistem informasi menggunakan Enterprise Resource Planning (ERP) untuk mengintegrasikan proses bisnis akuntansi keuangan perusahaan ke dalam sistem dan dapat menghasilkan laporan keuangan secara otomatis.","658.401 - Planning, Policy making, Control, Quality management",Karya Ilmiah - Skripsi (S1) - Reference,Enterprise Resource Planning,2021,"Universitas Telkom, S1 Sistem Informasi"
