Title,Text1,Penulis1,Penulis2,Abstrak,KataKunci,Klasifikasi,Jenis,Subjek,Tahun,Penerbit
Pengaruh Perceived Quality dan Harga terhadap Keputusan Pembelian pada UP'S Coffee & Eatery FERDI LAZUARDI,FERDI LAZUARDI,FERDI LAZUARDI,Fauzan Aziz,"<p>Kata Kunci:<em> </em>Perceived Quality, Harga, Dan Keputusan Pembelian.</p>",,"658.834 3 - Consumer attitudes, Preferences, Reactions, Brand preferences, Consumer satisfaction",Karya Ilmiah - Skripsi (S1) - Reference,"Consumer Satisfaction, Marketing Management,",2022,"Universitas Telkom, S1 Administrasi Bisnis"
Pengaruh Promosi Media Sosial Instagram dan Brand Image Terhadap Proses Keputusan Pembelian Properti Era Bandung TAUFIK WIRA PRATAMA,TAUFIK WIRA PRATAMA,TAUFIK WIRA PRATAMA,R. Nurafni Rubiyanti,"<p>Penelitian ini menggunakan metode kuantitatif dengan jenis penelitian deskriptif yang pengambilan sampelnya dilakukan dengan metode <em>non – probability sampling</em> dengan jumlah responden 100 orang. Teknik analisis yang digunakan dalam penelitian ini adalah deskriptif dan analisis regresi linier berganda. Bedasarkan hasil terhadap variabel Promosi Media Sosial memiliki persentase yang masuk kedalam kategori cukup baik, sedangkan <em>Brand Image </em> memiliki persentase yang sudah masuk kedalam kategoru baik.</p>",,658.8342 - Consumer Behavior,Karya Ilmiah - Skripsi (S1) - Reference,Skripsi,2022,"Universitas Telkom, S1 Administrasi Bisnis"
"PENGARUH STRATEGI PROMOSI, KUALITAS PRODUK, WORD OF MOUTH TERHADAP KEPUTUSAN PEMBELIAN CFC MELALUI VARIABLE BRAND IMAGE ELVINA SYAFIRA ASTI",ELVINA SYAFIRA ASTI,ELVINA SYAFIRA ASTI,Putu Nina Madiawati,"<p>Kata Kunci: Strategi Promosi, Kualitas Produk, Word of Mouth, Brand Image</p>",,"658.802 - General topics of marketing management, Communication in marketing, Green marketing, Market Segmentation, Marketing strategy",Karya Ilmiah - Skripsi (S1) - Reference,"Marketing Mix-promotion, Marketing Management,",2022,"Universitas Telkom, S1 Administrasi Bisnis"
"Pengaruh Variasi Produk, Kualitas Produk dan Harga Terhadap Minat Beli di Etalase Pasar Baru Bandung (Etapasbar.id) PALENSIA RIRIN APRIANI",PALENSIA RIRIN APRIANI,PALENSIA RIRIN APRIANI,Rd. Nurafni Rubiyanti,"<p>Pengumpulan data dalam penelitian ini dilakukan melalui penyebaran kuisioner dan menggunakan analisis data kuantitatif yang bersifar deskriptif. Pengambilan sampel dilakukan dengan metode <em>non-probability sampling</em> yaitu dengan<em> purposive sampling.</em> Sampel yang digunakan dalam penelitian ini adalah konsumen yang mengetahui dan pernah berbelanja di Etalase Pasar Baru Bandung, dengan jumlah responden sebanyak 100 orang. Metode analisis penelitian ini adalah uji regresi linear berganda dan alat analisis yang digunakan dengan bantuan SPSS.</p>",<p> </p>,658.81 - Marketing Management,Karya Ilmiah - Skripsi (S1) - Reference,"Loyalty-marketing Management, Product,",2022,"Universitas Telkom, S1 Administrasi Bisnis"
PENGEMBANGAN SISTEM DIALOG PADA INTERAKSI MANUSIA DAN MESIN MENGGUNAKAN FINITE STATE MACHINE (STUDI KASUS KENDARAAN CERDAS) MUHAMMAD HASBI JURI UTAMA,MUHAMMAD HASBI JURI UTAMA,MUHAMMAD HASBI JURI UTAMA,"Ahmad Musnansyah, Hanif Fakhrurroja",,,005.1 - software engineering,Karya Ilmiah - Skripsi (S1) - Reference,Internet Of Things,2022,"Universitas Telkom, S1 Sistem Informasi"
Pengembangan Tool untuk pengujian Alur Navigasi Website dengan metode Tree Testing AHMAD FIKRI,AHMAD FIKRI,AHMAD FIKRI,"Sri Widowati, Muhammad Johan Alibasa",,,005.1 - software engineering,Karya Ilmiah - Skripsi (S1) - Reference,"Software Engineering, Data Processing,",2022,"Universitas Telkom, S1 Informatika"
PENGGUNAAN METRIK ALIGNMENT GOALS COBIT 2019 UNTUK PENGUKURAN BALANCED SCORECARD TI DI UNIT GOVERNMENT COMPLAINT HANDLING DIVISI SDA PT XYZ ANISAH FREDELLA,ANISAH FREDELLA,ANISAH FREDELLA,"Lukman Abdurrahman, Rahmat Mulyana","<p>Kata Kunci: IT balanced scorecard, COBIT 2019, metrik alignment goals</p>",,"658.401 3 - Control and quality management, Management audits, Total quality management",Karya Ilmiah - Skripsi (S1) - Reference,"Organization Effectiveness, Performance, Measurement Instruments,",2022,"Universitas Telkom, S1 Sistem Informasi"
PENGUKURAN BALANCED SCORECARD TI BERBASIS COBIT 2019 MENGGUNAKAN METRIK ALIGNMENT GOALS DI DIVISI SDA PT XYZ UNIT INCIDENT MANAGEMENT TOP 200 ELYSIA ESTININGTYAS,ELYSIA ESTININGTYAS,ELYSIA ESTININGTYAS,"Lukman Abdurrahman, Rahmat Mulyana",,,"658.401 3 - Control and quality management, Management audits, Total quality management",Karya Ilmiah - Skripsi (S1) - Reference,"Quality Control, Performance, Measurement Instrument,",2022,"Universitas Telkom, S1 Sistem Informasi"
PERANCANGAN BISNIS DAN ANALISIS KELAYAKAN USAHA RUMAH KOST DI PERUMAHAN PAKUAN REGENCY KOTA BOGOR AMANANDITO SHAFA MAULA,AMANANDITO SHAFA MAULA,AMANANDITO SHAFA MAULA,"Nanang Suryana, Nanang Suryana",,,658.401 - Planning and Strategic Management,Karya Ilmiah - Skripsi (S1) - Reference,"Business Planning, Business Management,",2022,"Universitas Telkom, S1 Teknik Industri"
PERANCANGAN PERBAIKAN POSITIONING PRODUK T-SHIRT NAKHODA NUSANTARA BERDASARKAN PERCEPTUAL MAPPING MENGGUNAKAN METODE MULTIDIMENSIONAL SCALING DAN SWOT ANALYSIS WIWIT AGI YUNIAR,WIWIT AGI YUNIAR,WIWIT AGI YUNIAR,"Yati Rohayati, Ima Normalia Kusmayanti",<p>Multidimensional scaling (MDS) banyak digunakan dalam riset pemasaran untuk positioning. Perusahaan menggunakan MDS untuk mengetahui bagaimana merek produknya dinilai diantara merek pesaing serupa lainnya. Nakhoda Nusantara ingin meningkatkan potensi tercapainya target penjualan sehingga tugas akhir ini bertujuan untuk menghasilkan rancangan perbaikan positioning produk yang tepat untuk dapat diterapkan oleh Nakhoda Nusantara dengan perceptual mapping menggunakan metode multidimensional scaling (MDS) dan analisis SWOT. </p>,,658.401 2 - STRATEGIC MANAGEMENT,Karya Ilmiah - Skripsi (S1) - Reference,"Business Planning, Business Management,",2022,"Universitas Telkom, S1 Teknik Industri"
