Title,Field1,Penulis1,Penulis2,Abstrak,Klasifikasi,Jenis,Subjek,Tahun,Penerbit
ANALISIS FAKTOR-FAKTOR YANG BERPENGARUH TERHADAP PENGUKURAN KINERJA INTERNASIONAL PADA USAHA MIKRO KECIL DAN MENENGAH (UMKM) DI KOTA BANDUNG ANANDA VIRYA SUNDIANA,ANANDA VIRYA SUNDIANA,ANANDA VIRYA SUNDIANA,GRISNA ANGGADWITA,"Usaha Mikro, Kecil dan Menengah (UMKM) merupakan suatu peran penting untuk meningkatkan pertumbuhan ekonomi. Menurut Sekertaris Dinas Koperasi, Usaha Mikro, Kecil dan Menengah (UMKM) Kota Bandung pada tahun 2019 berjumlah sebanyak 6182 UMKM. Kondisi yang dihadapi oleh UMKM di Kota Bandung berdasarkan hasil wawancara yaitu Kota Bandung memiliki beberapa kendala seperti produk UMKM yang dimiliki masih terbatas dan kurang inovatif, kinerja sumber daya manusia yang minim, kemampuan teknologi yang minim dan masih kurang optimal, hal tersebut menimbulkan UMKM di Kota Bandung belum mencapai pasar global/ go international. Tujuan dalam penelitian ini adalah untuk mengetahui faktor-faktor yang mempengaruhi pengukuran kinerja internasional UMKM di Kota Bandung dilihat dari tingkat kemampuan teknologi, dan inovasi produk serta pengaruhnya pada kinerja internasional UMKM di Kota Bandung melalui kinerja sumber daya manusia (SDM). Metode pengumpulan data dalam penelitian ini dapat diperoleh melalui penyebaran kuesioner terhadap 400 responden. Kuesioner yang digunakan menggunakan skala likert 6 titik dengan 41 pertanyaan. Metode sampel yang digunakan ialah sampel probability sampling dengan teknik cluster random sampling. Teknik analisis data yang digunakan ialah analisis deskrptif. Hasil penelitian ini menyatakan bahwa variabel kemampuan Teknologi, dan Inovasi Produk berpengaruh dan signifikn terhadap Kinerja SDM, variabel Inovasi Produk dan Kinerja SDM berpengaruh dan signifikan terhadap Kinerja Internasional, variabel Inovasi Produk berpengaruh dan signifikan terhadap Kinerja Internasional melalui Kinerja SDM, sendangkan untuk variabel Kemampuan Teknologi terhadap Kinerja Internasional tidak berpengaruh dan signifikan begitu pula degan variabel Kemampuan Teknologi terhadap Kinerja Internasional melalui Kinerja SDM.",338.04 - Entrepreneurship,Karya Ilmiah - Skripsi (S1) - Reference,1 Entrepreneurship,2020,"Universitas Telkom, S1 Manajemen (Manajemen Bisnis Telekomunikasi dan Informatika)"
ANALISIS FAKTOR-FAKTOR YANG MEMPENGARUHI NIAT KEBERLANJUTAN PENGGUNAAN GO-PAY KENNI AINUN PERMATASARI,KENNI AINUN PERMATASARI,KENNI AINUN PERMATASARI,CANDIWAN,"Pada saat ini teknologi digital semakin berkembang salah satunya adalah mobile payment yang membuat aktivitas masyarakat menjadi lebih praktis. Go-Pay merupakan mobile payment dengan pengguna terbanyak di Indonesia. Namun, masih terdapat kendala dalam sistem keamanan Go-Pay dimana banyak terjadi kasus sosial enggerning yang dilakukan oleh pihak tidak bertanggung jawab. Dari masalah ini, Go-Pay perlu meningkatkan keamanan dengan membangun kepercayaan dan niat untuk terus menggunakan mobile payment Go-Pay. Penelitian ini bertujuan untuk mengetahui faktor-faktor yang mempengaruhi terhadap niat keberlanjutan penggunaan mobile payment Go-Pay. Untuk analisis data, peneliti menggunakan Teori Difusi Inovasi dan Trust Building Framework serta menambahkan moderasi gender. Penelitian ini menggunakan kuesioner online dengan menggumpulkan data sebanyak 400 responden. Dalam menganalisis data peneliti menggunakan metode SEM. Hasil penelitian ini menunjukkan bahwa security memiliki hubungan yang kuat diantara faktor lainnya disusul dengan customization, reputation, mobility terhadap trust. Kemudian Trust secara positif mempengaruhi continuance intention, sedangkan perceived risk yang lebih tinggi akan mengurangi niat untuk terus menggunakan Go-Pay. Selain itu, mobility dan reputation terhadap Trust lebih tinggi pelanggan laki-laki daripada perempuan, sedangkan customization dan security pada Trust lebih tinggi pelanggan perempuan daripada laki-laki. Implikasi teoritis dan praktis dalam penelitian ini dengan meningkatkan security pada Go-Pay melalui sosialisasi edukasi secara efektif yang dapat dilakukan oleh pihak manajemen.","658 - General management, General business management, General industrial Management",Karya Ilmiah - Skripsi (S1) - Reference,Management,2020,"Universitas Telkom, S1 Manajemen (Manajemen Bisnis Telekomunikasi dan Informatika)"
ANALISIS IMPLEMENTASI PROGRAM KAMPUNG SABILULUNGAN BERSIH KABUPATEN BANDUNG WILAYAH SELATAN DENGAN MENGGUNAKAN KONSEP ECOVILLAGE (Studi Pada Kecamatan Rancabali) DEWIMAS FATIMAH,DEWIMAS FATIMAH,DEWIMAS FATIMAH,Sisca Eka Fitria,"Hasil penelitian menunjukkan bahwa seluruh desa memiliki potensi yang berbeda-beda disetiap aspek yang dilihat dengan menggunakan konsep ecovillage pada pelaksanaan program Kampung Sabilulungan Bersih dan seluruh desa telah melaksanakan semua atribut dalam aspek ecovillage. Informasi tersebut penting untuk menciptakan strategi yang tepat untuk setiap desa karena setiap desa mungkin memiliki potensi, keadaan, atau pencapaian yang berbeda.
Kabupaten Bandung memiliki masalah terhadap isu lingkungan hidup. Pemerintah Kabupaten Bandung menerapkan program Kampung Sabilulungan Bersih melalui Dinas Lingkungan Hidup.
Penelitian ini bertujuan untuk menganalisa implementasi program Kampung Sabilulungan Bersih di kecamatan Rancabali  dengan menggunakan konsep ecovillage yaitu dilihat dari aspek ekologi, ekonomi, sosial, dan spiritual dalam menerapkan program Sabilulungan Bersih. Menggunakan metode kualitatif deskriptif yang dilakukan dengan wawancara, dokumentasi, dan observasi langsung dengan melibatkan 3 narasumber yang merupakan fasilitator desa Kampung Saber. 
Hasil penelitian menunjukkan bahwa seluruh desa memiliki potensi yang berbeda-beda disetiap aspek yang dilihat dengan menggunakan konsep ecovillage pada pelaksanaan program Kampung Sabilulungan Bersih dan seluruh desa telah melaksanakan semua atribut dalam aspek ecovillage.",658.408 3 - Social responsibility of executive management-Protection of environment,Karya Ilmiah - Skripsi (S1) - Reference,Business Environment,2020,Universitas Telkom
"ANALISIS KOMPARASI E-SERVICE QUALITY PADA APLIKASI ONLINE TRAVEL AGENT DENGAN MENGGUNAKAN ANALISIS SENTIMEN (TRAVELOKA, TIKET.COM, DAN PEGIPEGI) MAHENDRA HARI UTOMO",MAHENDRA HARI UTOMO,MAHENDRA HARI UTOMO,HERRY IRAWAN,ABSTRAK,338.479 1 - Tourism,Karya Ilmiah - Skripsi (S1) - Reference,Travel-tourism,2020,"Universitas Telkom, S1 Manajemen (Manajemen Bisnis Telekomunikasi dan Informatika)"
ANALISIS KORELASI SENTIMEN PADA TWITTER TERHADAP ABNORMAL RETURN SAHAM (Studi Kasus pada Saham Indeks LQ45 di Twitter) LEONIE SYAFIRA,LEONIE SYAFIRA,LEONIE SYAFIRA,"Brady Rikumahu, Andry Alamsyah","Investasi saham merupakan salah satu jenis investasi yang paling banyak digemari oleh masyarakat. Walaupun memiliki resiko yang besar namun investasi saham juga dapat memberikan return yang luar biasa. Hal ini yang membuat jumlah investor di Indonesia meningkat setiap tahunnya. Begitu pula dengan perkembangan penyebaran informasi. Kehadiran sosial media memungkinkan siapapun untuk dapat menyebarkan informasi. Hal ini menjadi tantangan, dimana informasi-informasi ini dapat memberikan pengaruh terhadap keputusan-keputusan yang akan diambil oleh seorang investor. Pada penelitian ini dilakukan analisis untuk melihat korelasi antara sentimen yang terbentuk dari tweet di Twitter dengan abnormal return saham dari perusahaan-perusahaan yang terdaftar dalam indeks LQ45. Semua tweet yang dibuat pada periode Oktober - Desember 2019 dikumpulkan untuk diklasifikasikan berdasarkan sentimen positif negatif oleh model klasifikasi Naïve Bayes. Hasil klasifikasi sentimen ini kemudian di ranking dan dibandingkan dengan abnormal return saham dari perusahaan-perusahaan indeks LQ45 menggunakan metode uji korelasi Rank Spearman. Hasil korelasi Rank Spearman menunjukan bahwa sentimen memiliki pengaruh yang lemah terhadap abnormal return saham. Baik itu return pada hari yang sama, setelah 1 hari, atau setelah 5 hari sentimen itu terbentuk. Selain itu jumlah followers dari akun-akun di Twitter yang memberikan komentar mengenai perusahaan-perusahaan tersebut juga tidak memiliki pengaruh. Beberapa faktor lain diduga menjadi penyebab sentimen-sentimen tersebut diabaikan",332 - Financial economics,Karya Ilmiah - Skripsi (S1) - Reference,Finance,2020,Universitas Telkom
analisis kualitas pelayanan dan kepuasan konsumen menggunakan metode customer satisfaction index (CSI) dan importance performance analysis (IPA) pada bengkel Auto2000 Asia Afrika Bandung AMJAD SYARIF,AMJAD SYARIF,AMJAD SYARIF,Arry Widodo,"Salah satu perusahaan bengkel resmi yang dimiliki Toyota adalah Auto2000 Asia Afrika Bandung. Kepuasan pelanggan pada Auto2000 Asia Afrika Bandung dikatakan menurun, menurut data jumlah unit service berkala di Auto2000 Asia Afrika Bandung pada rentang April 2018 - April 2019 terdapat penurunan jumlah kendaraan yang service sebesar 94%. Hal ini menandakan adanya ketidakpuasan pelanggan dengan kualitas pelayanan yang diberikan oleh Auto2000 Asia Afrika Bandung. Penelitian ini bertujuan untuk mengetahui tingkat kepuasan pelanggan terhadap kualitas pelayanan serta menganalisis variabel yang perlu dilakukan perbaikan pada Auto2000 Asia Afrika Bandung.
Penelitian ini menggunakan metode CSI dan IPA. Populasi yang digunakan dalam penelitian ini adalah pelanggan yang menggunakan service Auto2000 Asia Afrika Bandung. Pengambilan sampel dilakukan menggunakan NonProbability Sampling dengan jumlah responden sebanyak 100 orang. Hasil penyebaran kuesioner diolah dengan analisis CSI untuk mengetahui tingkat kepuasan serta analisis GAP lalu diolah kembali dengan menggunakan metode IPA  guna mengetahui variabel yang perlu dilakukan perbaikan melalui SPSS 22. 
Hasil pada penelitian ini terdapat persepsi konsumen terhadap kinerja dengan kategori baik sebesar 77.31%. dan tingkat kepentingan pada perusahaan dengan kategori baik sebesar 80,21%. Tingkat kepuasan yang diukur melalui CSI mendapat nilai 77,91% yang berarti pelanggan merasa puas, sedangkan pada analisis GAP 15 dari 17 item bernilai negatif maka dapat disimpulkan bahwa konsumen belum merasa puas. Dan dalam diagram cartesius terdapat 5 aspek yang harus diperbaiki untuk meningkatkan kepuasan konsumen atas kualitas layanan perusahaan Auto2000 Asia Afrika Bandung
Kata Kunci:  Costumer Satisfaction Index (CSI), Importance Performance Analysis (IPA), Kepuasan Pelanggan, Kualitas Layanan",658.81 - Marketing Management,Karya Ilmiah - Skripsi (S1) - Reference,Marketing,2020,Universitas Telkom
"ANALISIS PEMASARAN MEDIA SOSIAL UNTUK MENENTUKAN  INFLUENCER DAN TOPIK PEMBICARAAN MENGGUNAKAN SOCIAL NETWORK ANALYSIS DAN TOPIC MODELING
(Studi Kasus : Go-Pay, OVO, Dana dan LinkAja) ASSYIFA RESKA SISILIA",ASSYIFA RESKA SISILIA,ASSYIFA RESKA SISILIA,REFI RIFALDI WINDYA GIRI,"Perkembangan teknologi yang semakin pesat saat ini berdampak besar bagi kehidupan sehari-hari, termasuk dalam sistem pembayaran. Terdapat beberapa sistem pembayaran yang menggunakan teknologi digital, salah satunya adalah e-wallet atau dompet digital yang dapat mempermudah transaksi pembayaran secara non-tunai. Go-Pay, OVO, Dana dan LinkAja merupakan empat e-wallet terbaik dengan jumlah pengguna dan pengunduh aplikasi terbanyak di Indonesia dalam tujuh kuartal terakhir sejak 2017.
Ditengah persaingan yang semakin ketat Go-Pay, OVO, Dana dan LinkAja harus menerapkan strategi pemasaran pada media sosial agar dapat bertahan diposisinya. Media sosial merupakan platform yang sering digunakan untuk startegi pemasaran pada media sosial. Pada media sosial, perusahaan dapat menentukan akun dan topik yang dibicarakan oleh konsumen.
Hasil penelitian memperlihatkan bahwa akun yang berpengaruh pada keempat e-wallet di media sosial Twitter yaitu akun @ptinka, @alfamart, @bareksacom, @adie_tan dan @kai121. Penelitian ini juga memperlihatkan bahwa topik yang sering dibicarakan yaitu mengenai giveaway, informasi, promo dan ketidaknyamanan dalam penggunaan layanan. 
Berdasarkan hasil penelitian, perusahaan dapat memanfaatkan strategi pemasaran pada media sosial untuk memenuhi kebutuhan konsumen dengan melihat hasil analisis jaringan sosial menggunakan metode SNA (social network analysis)  dan topik pembicaraan menggunakan metode Topic Modeling.","658.8 - Marketing management, Management of distribution, Marketing goods, Marketing services, merchandising",Karya Ilmiah - Skripsi (S1) - Reference,Marketing,2020,"Universitas Telkom, S1 Manajemen (Manajemen Bisnis Telekomunikasi dan Informatika)"
Analisis Pemetaan Sekolah Menengah Atas Islam Terakreditasi A di Kota Bandung Berdasarkan Elemen Brand Equity GHINA DWI ROMADHANTI,GHINA DWI ROMADHANTI,GHINA DWI ROMADHANTI,Achmad Manshur Ali Suyanto,"Pendapat dan persepsi masyarakat dalam menentukan sekolah menengah atas mana yang menjadi pilihannya berbeda-beda. Begitu juga halnya dengan sekolah menengah atas yang mempunyai akreditasi A di Kota Bandung, masyarakat pasti mempunyai pendapat dan persepsi yang baik terhadap sekolah menengah atas tersebut. Dengan demikian penelitian ini dilakukan dengan tujuan untuk mengetahui pemetaan dan pengukuran sekolah menengah atas islam terakreditasi A di Kota Bandung berdasarkan elemen-elemen brand equity menggunakan metode multidimensional scaling yang nanti akan menghasilkan posisi pemetaannya (map) berdasarkan persepsi orang atau masyarakat yang mengetahui sekolah menengah atas terakreditasi A tersebut. Pemetaan atas pengukuran ini dapat berguna untuk membangun, mengelola, dan memperkuat brand sekolah menengah atas dari berbagai indikator. Metode pengumpulan data mengenai objek penelitian didapat melalui kuesioner yang disebar kepada 400 responden, yaitu kepada masyarakat di kota Bandung, dengan menggunakan teknik purposive sampling. Teknik analisis yang digunakan yaitu multidimensional scaling. Hasil yang didapat dari penelitian ini, urutan sekolah menengah atas islam yang paling memiliki brand equity secara keseluruhan dari yang paling unggul adalah Alfa Centauri, Mutiara Bunda, Istiqamah, Daarul Hikam, dan Daarul Quran menempati posisi terakhir. Alfa Centauri, Mutiara Bunda dan Istiqamah unggul dalam brand association, brand loyalty dan perceived quality, sedangkan Daarul Hikam dan Daarul Quran tidak memiliki keunggulan pada elemen brand equity.",330.01 - Economics,Karya Ilmiah - Skripsi (S1) - Reference,1 Economics,2020,"Universitas Telkom, S1 Manajemen (Manajemen Bisnis Telekomunikasi dan Informatika)"
Analisis Pengaruh Kesehatan Bank Terhadap Harga Saham pada Bank Umum Milik Negara Periode 2010-2019 KHUSNUL KHOTIMAH,KHUSNUL KHOTIMAH,KHUSNUL KHOTIMAH,Aldilla Iradianty,"Penelitian ini bertujuan untuk mengetahui pengaruh tingkat kesehatan bank yaitu RGEC (Risk Profile, Good Corporate Governance, Earning, dan Capital) yang diproyeksikan melalui rasio Non Performing Loan (NPL), Good Corporate Governance (GCG), Net Interest Margin (NIM), Return On Assets (ROA), dan Capital Adequacy Ratio (CAR) terhadap harga saham pada Bank Umum Milik Negara yang terdaftar di Bursa Efek Indonesia periode 2010-2019. Metode pengambilan sampel menggunakan sampling jenuh, yaitu teknik dengan seluruh anggota populasinya menjadi anggota sampel dan didapatkan 4 bank, yaitu Bank Mandiri, Bank BNI, Bank BRI, dan Bank BTN. Metode analisis yang digunakan dalam penelitian ini yaitu analisis regresi linier berganda. Hasil dari penelitian uji parsial didapatkan Risk Profile, Good Corporate Governance, dan Earning tidak berpengaruh tehadap harga saham sedangkan Capital berpengaruh terhadap harga saham. Secara simultan, Risk Profile, Good Corporate Governance, Earning, dan Capital tidak memiliki pengaruh terhadap harga saham.",332.159 8 - Banks management in Indonesia,Karya Ilmiah - Skripsi (S1) - Reference,Bank,2020,Universitas Telkom
ANALISIS PENGARUH PANJANG JEMBATAN GARAM TERHADAP PRODUKSI LISTRIK DUAL CHAMBER MFC NURAIDA RAHMAH,NURAIDA RAHMAH,NURAIDA RAHMAH,"M. Ramdlan Kirom, Amaliyah R.I.U.","ABSTRAK
Microbial Fuel Cell (MFC) adalah salah satu energi alternatif yang berkelanjutan untuk mengurangi ketergantungan kita terhadap energi listrik. Sistem MFC ini menggunakan sistem dual chamber  yaitu terdapat anoda dan katoda yang dihubungkan oleh jembatan garam sebagai media transfer proton. Penelitian ini menggunakan variasi panjang jembatan garam yang menggunakan substrat limbah cair tahu dan lumpur pada reaktor anoda serta larutan aquades pada reaktor katoda dengan memakai elektroda tembaga (Cu) dan seng (Zn) dengan ketebalan 0,3 mm dan luas permukaan sebesar 15 cm2. Ada 7 variasi panjang jembatan garam yang digunakan yaitu 5cm, 6cm, 7cm, 8cm, 9cm, 10cm, dan 11cm. Bahan jembatan garam yang digunakan pada penelitian ini adalah pipa pvc yang didalamnya ada sumbu pilinan kompor yang sudah direbus dengan NaCl dan di jemur sampai kering lalu dimasukan ke dalam pipa tersebut. Pengambilan data dilakukan selama 7 hari per 2 jam sekali, data tegangan dan arus diambil menggunakan multimeter. Hasil penelitian menunjukan bahwa puncak nilai tegangan, arus, dan rapat daya tertinggi ada pada reaktor pertama. Tegangan yang tertinggi yaitu 0,925 mV, sedangkan untuk nilai arus tertinggi yaitu 0,930 mA. Nilai rapat daya yang diperoleh yaitu 546,840. Sehingga dapat disimpulkan bahwa semakin pendek jembatan garamnya maka makin besar tegangannya.
Kata Kunci: Microbial Fuel Cell, lumpur sawah, limbah cair tahu",333.794 - Renewable energy resources,Karya Ilmiah - Skripsi (S1) - Reference,Renewable Energy,2020,Universitas Telkom
